"geneSymbol"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"T1"	"T2"	"T3"	"T4"	"T5"	"T6"	"T7"
"MAPK3"	11.0135084155886	10.6029911773382	11.1400132494317	11.0049269378516	10.5321492618597	9.9298598576236	11.430972095177	10.2824383802864	10.0980977089013	9.60309483581893	10.835368748471	11.2266395495768	10.6935960229971	9.24281704777886
"TIE1"	4.460952093001	8.75640776317653	5.6349123208876	4.60972384216808	6.41447393303872	4.47083281161855	7.25584256708438	6.70110606458132	6.76383899667507	6.99346554992697	6.81546265960621	7.97148322639444	5.06195232785644	4.70578153989511
"CYP2C19"	3.93774131655955	5.91931429788944	5.97453295821582	7.67421752826699	4.98838653817229	5.06879466193391	8.00282942049166	4.39533604586712	5.46784479037692	6.0920406608453	2.59506544944527	6.39615469629936	4.66722150329265	4.68279113393033
"CXCR5"	7.08551903423635	7.6895723250389	6.1788865933056	5.69692942978386	8.57126877403382	7.08406614204933	8.34079106893621	4.97815370761167	5.55783737070275	4.83676206421515	5.297622825837	5.53314008427528	5.06743141598542	4.93798006015322
"CXCR5"	6.76468745933615	8.56762138395697	9.70504994671642	8.20357585086642	8.56636788776101	8.93594568560722	7.14900602247889	6.56216475438495	6.14538240942392	5.98593480153727	6.02286709890285	7.94639816539442	6.45185431636274	6.46550202951173
"DUSP1"	7.07691273395907	7.58564186508952	8.86234399153442	7.91351040189036	6.67638921823805	8.52361657555432	9.21715620146828	6.19150087812998	12.0796553164547	7.01649638586374	4.42420579969456	10.2143268932866	8.54523744393508	8.26738941701193
"MMP10"	3.8076158498637	5.12591361659669	7.97703480442951	7.57446906128207	6.99250152433305	5.78170565077009	7.21718873308329	3.51517439967043	1.91106865032741	1.18841813456464	1.83032541872744	5.66366515460985	3.53106867743067	4.69340710832611
"DDR1"	11.0890100932936	10.7617341132949	9.98511957855915	10.3445376863034	10.3368212499352	11.1783605804063	10.3817468974116	10.7291728223296	12.0587454170122	11.2578668383157	11.2891024437728	11.3041645943587	11.4649606001807	10.1268484569752
"EIF2AK2"	11.3691856992119	13.1663674091011	14.3481469214521	12.3027518415398	13.4176594672576	12.3360073697157	12.145064346258	11.2563531484215	12.2143507623102	10.4423485621846	11.1923230240628	9.73648647568642	9.45882682655063	8.85678659483293
"HINT1"	12.4734908106953	10.6415003269022	7.97655580634862	9.42386159236316	7.67619726418145	6.99314916714121	10.9333416248671	12.2117098334833	11.8524118004249	10.5499981402215	11.8259753208156	10.8252891276148	11.3164502972222	11.4919640276043
"RABGGTA"	9.94221464220371	9.00072050217155	9.36992544931463	10.8065895469549	8.5872814109195	9.88389925739133	9.57701600323679	9.22738730669154	9.59179984473251	9.40584898298312	9.87652860447187	9.36251307435384	9.44925965055487	8.36047505133396
"MAPK11"	4.7932439282526	6.20681556263999	7.56321678717559	8.85229826704623	5.7887455801427	8.45174164633657	6.57660552733096	4.01707502729698	5.84021827387528	5.58153628247185	7.52656943301019	7.00480232831887	6.02592648853704	4.83100689169535
"YWHAE"	8.1137484364516	7.86613177252178	8.69730419495697	8.10768727675483	6.23492356610257	5.61407479724753	7.12093525385346	10.7545952739661	11.1007655927392	10.007545672499	7.22370070972358	7.93110216098895	10.5352434022149	8.66005043205662
"KAT2B"	4.38883418514335	4.54112177882123	5.12546789171967	5.29394532154545	7.89998238166216	7.77831913697029	7.0900219230219	3.02507759350362	3.99714974215601	2.59843315806658	4.08202856180966	5.92500341479758	4.41031931807419	2.47112001544559
"SMAD5"	6.87203081663295	2.80270942947525	8.69393064851153	6.19455030667967	6.66728109651966	7.78690420793627	3.28986660196623	5.91999997371722	6.08156516637446	6.11035370908316	4.6678865479753	5.04468815656777	2.97800957511692	5.11844143715019
"POLG"	9.52576647520408	7.63173011226117	7.28374041691185	10.0879867741565	8.03703304613641	10.0068035315706	9.52114027753693	9.64772815801458	9.67103074070474	9.36857757981244	9.89135218424169	9.84517613399928	9.96602276786012	10.6608036812612
"LIMK1"	6.75651933977539	7.47343066170018	6.51970885727661	6.71649546990958	8.73602811793572	7.46788860664017	7.1385051240636	3.79909926938449	6.43425244866262	5.57313378042293	5.25322850046128	6.53629668936045	6.66702181701177	7.80692449552211
"IL13RA2"	5.16390210520098	7.68767033801861	6.41235051829483	8.41452809852106	8.1657729368539	6.44281177320261	6.581296389954	4.76654923547074	5.66328414778902	2.21429154389059	5.08557249556711	5.99206059067284	4.50478846250593	5.35471468005113
"MSH6"	8.09628070612639	8.0688705967928	5.37930609587715	7.11722467268945	8.85492651989098	7.70765174728802	8.38577236837753	7.44652834579452	6.74208320100705	7.22004289569529	7.03635995531231	7.69179949163209	7.94980912078001	7.75565863374489
"WNT10B"	7.40214500129593	7.82794241079899	6.68872707060336	8.81689679939183	8.61703268052798	8.16812315503501	9.3297212197613	5.30916085192777	7.52392487037424	6.57258349515103	6.93202282983783	6.94521605407252	6.97756731351199	8.18286442358319
"WNT10B"	9.35711767610026	10.6313826278604	9.76130988351949	9.45738763641663	10.5296941000884	10.2414036812745	10.0009759097149	7.69157977802283	8.08295274907623	8.19332641155103	8.79643893449049	8.31431195030939	6.94869505370321	8.44384893461922
"DYRK4"	8.0123659450872	5.81318277543865	9.14523973019052	6.41683061869465	5.83160921819791	5.91498714905269	5.98664209150079	8.02113018254111	8.27865797125429	7.6756019884877	8.34151037994887	6.7217982022552	7.19751440638721	6.37697346039662
